event_id,plant_name,region,season,ndwi_score,ndvi_score,slope_degrees,rainfall_forecast_mm,breach_proximity_score,observation_duration_days,breached,failure_mode,source
S003_aug2,NTPC Unchahar,Uttar Pradesh,Monsoon,0.085,0.602,17.6,20.8,0.685,197,0,Stable monitoring period 1998,Site monitoring records
S004_aug2,Raichur TPS,Karnataka,Monsoon,0.117,0.491,13.7,90.9,0.553,147,0,Stable monitoring period 2018,KSPCB baseline data
S005_aug2,Bokaro TPS,Jharkhand,Monsoon,0.189,0.476,11.3,70.4,0.774,180,0,Stable monitoring period 2016,JSPCB baseline data
S006_aug2,Obra TPS,Uttar Pradesh,Monsoon,0.059,0.573,18.5,77.0,0.587,159,0,Stable monitoring period 2019,UPPCB baseline data
E001_aug3,Sasan UMPP,Singrauli,Early Monsoon,0.531,0.059,21.3,158.8,0.905,111,1,Seepage + sustained rainfall,CAG Report 2021
E002_aug3,Amarkantak TPS,Singrauli,Pre-Monsoon,0.406,0.167,16.6,126.3,0.652,48,1,Embankment saturation heavy rainfall,NGT Order 2022
E003_aug3,NTPC Unchahar,Uttar Pradesh,Post-Monsoon,0.25,0.231,18.1,10.1,0.672,87,1,Dry cracking structural failure,Parliamentary Committee 2000
E004_aug3,Raichur TPS,Karnataka,Peak Monsoon,0.409,0.116,14.4,172.7,0.549,74,1,Sustained monsoon rainfall seepage,KSPCB Report 2019
E005_aug3,Bokaro TPS,Jharkhand,Monsoon,0.349,0.221,12.1,93.7,0.781,58,1,Partial breach proximity old failure,JSPCB Report 2017
E006_aug3,Obra TPS,Uttar Pradesh,Peak Monsoon,0.363,0.196,16.4,142.7,0.62,52,1,Seepage driven peak monsoon,UPPCB Report 2020
S001_aug3,Sasan UMPP,Singrauli,Monsoon,0.166,0.47,21.5,78.2,0.851,178,0,Stable monitoring period 2019,Site monitoring records
S002_aug3,Amarkantak TPS,Singrauli,Monsoon,0.073,0.544,16.7,26.1,0.647,183,0,Stable monitoring period 2021,Site monitoring records
S003_aug3,NTPC Unchahar,Uttar Pradesh,Monsoon,0.099,0.577,18.4,29.4,0.698,202,0,Stable monitoring period 1998,Site monitoring records
S004_aug3,Raichur TPS,Karnataka,Monsoon,0.115,0.536,13.5,93.8,0.565,148,0,Stable monitoring period 2018,KSPCB baseline data
S005_aug3,Bokaro TPS,Jharkhand,Monsoon,0.098,0.559,11.6,71.0,0.791,179,0,Stable monitoring period 2016,JSPCB baseline data
S006_aug3,Obra TPS,Uttar Pradesh,Monsoon,0.063,0.554,16.4,74.7,0.616,162,0,Stable monitoring period 2019,UPPCB baseline data
